Generation (thousands),Time (h),Replicate,OD420
A,0,1,327.148799
A,1,1,355.1645581
A,2,1,348.7928614
A,3,1,319.0035373
A,4,1,301.5963248
A,6,1,348.3330483
A,9,1,360.2553467
A,24,1,316.9343781
B,0,1,319.7261008
B,1,1,326.6232983
B,2,1,286.652397
B,3,1,316.7044715
B,4,1,310.3656186
B,6,1,301.0379802
B,9,1,333.6847147
B,24,1,292.4985929
C,0,1,308.9533353
C,1,1,323.9957945
C,2,1,342.4211648
C,3,1,313.3544042
C,4,1,289.8710891
C,6,1,132.5493002
C,9,1,42.55729573
C,24,1,56.68012855
D,0,1,325.1453274
D,1,1,348.0374541
D,2,1,321.8281039
D,3,1,342.388321
D,4,1,276.5693512
D,6,1,17.26757184
D,9,1,36.64541222
D,24,1,42.29454535
A,0,2,311.2163277
A,1,2,299.942435
A,2,2,304.2265142
A,3,2,305.5149591
A,4,2,305.1928479
A,6,2,312.0216058
A,9,2,325.9045994
A,24,2,351.9956083
B,0,2,314.0509065
B,1,2,306.6423484
B,2,2,302.6481693
B,3,2,311.6350723
B,4,2,306.2236038
B,6,2,297.3333341
B,9,2,305.4505369
B,24,2,320.1710197
C,0,2,313.5677397
C,1,2,308.2206934
C,2,2,302.3904803
C,3,2,294.2732775
C,4,2,276.3638937
C,6,2,96.78688807
C,9,2,37.00304549
C,24,2,36.71314539
D,0,2,306.2236038
D,1,2,291.7285989
D,2,2,298.0741899
D,3,2,296.8823784
D,4,2,267.9245797
D,6,2,60.25947563
D,9,2,25.50367491
D,24,2,37.42179008
A,0,3,314.2623162
A,1,3,316.9935275
A,2,3,313.9483839
A,3,3,300.9201923
A,4,3,326.0033853
A,6,3,323.3663537
A,9,3,321.0746477
A,24,3,335.7980739
B,0,3,313.4460922
B,1,3,317.7155718
B,2,3,302.3328878
B,3,3,304.9071328
B,4,3,310.6834877
B,6,3,300.3237209
B,9,3,294.3903999
B,24,3,294.4217931
C,0,3,298.0948013
C,1,3,303.3688644
C,2,3,292.1300871
C,3,3,280.1064789
C,4,3,266.356243
C,6,3,76.89808309
C,9,3,16.15217764
C,24,3,25.50736101
D,0,3,308.1092426
D,1,3,308.1406358
D,2,3,296.6507126
D,3,3,286.7304511
D,4,3,253.955916
D,6,3,-7.738072515
D,9,3,19.26010768
D,24,3,34.92533085
A,0,3,314.2623162
A,1,3,316.9935275
A,2,3,313.9483839
A,3,3,300.9201923
A,4,3,326.0033853
A,6,3,323.3663537
A,9,3,321.0746477
A,24,3,335.7980739
B,0,3,313.4460922
B,1,3,317.7155718
B,2,3,302.3328878
B,3,3,304.9071328
B,4,3,310.6834877
B,6,3,300.3237209
B,9,3,294.3903999
B,24,3,294.4217931
C,0,3,298.0948013
C,1,3,303.3688644
C,2,3,292.1300871
C,3,3,280.1064789
C,4,3,266.356243
C,6,3,76.89808309
C,9,3,16.15217764
C,24,3,25.50736101
D,0,3,308.1092426
D,1,3,308.1406358
D,2,3,296.6507126
D,3,3,286.7304511
D,4,3,253.955916
D,6,3,-7.738072515
D,9,3,19.26010768
D,24,3,34.92533085
A,0,4,304.3974144
A,1,4,296.5852889
A,2,4,299.8663816
A,3,4,295.2416033
A,4,4,296.4915434
A,6,4,303.1474743
A,9,4,307.5222646
A,24,4,312.8970069
B,0,4,295.2728518
B,1,4,299.4913996
B,2,4,288.2419389
B,3,4,280.8672925
B,4,4,296.4290464
B,6,4,281.7422506
B,9,4,283.0859361
B,24,4,283.1171846
C,0,4,287.0857444
C,1,4,273.3676521
C,2,4,276.3675082
C,3,4,277.2112178
C,4,4,253.8998354
C,6,4,89.87644932
C,9,4,12.34891629
C,24,4,24.22334698
D,0,4,290.1480975
D,1,4,287.3044839
D,2,4,270.1803049
D,3,4,257.5559101
D,4,4,227.1823664
D,6,4,6.06796742
D,9,4,14.63005692
D,24,4,27.62943368
A,0,5,327.8768059
A,1,5,328.7371992
A,2,5,326.0023778
A,3,5,323.5441113
A,4,5,333.2235354
A,6,5,328.8908408
A,9,5,333.8995587
A,24,5,339.0311898
B,0,5,335.7125301
B,1,5,332.2095005
B,2,5,308.6101428
B,3,5,323.144643
B,4,5,330.8267256
B,6,5,314.2641556
B,9,5,299.2072737
B,24,5,310.8225826
C,0,5,314.7558089
C,1,5,318.6890351
C,2,5,309.6856344
C,3,5,306.5206163
C,4,5,285.0107851
C,6,5,96.86121852
C,9,5,13.06506172
C,24,5,30.9796783
D,0,5,318.1359252
D,1,5,315.4932888
D,2,5,312.5433691
D,3,5,304.9227432
D,4,5,264.4228038
D,6,5,3.877290957
D,9,5,18.07377957
D,24,5,28.73651019
